label,n_estimators_cap,es_rounds,best_iteration,oot_gini,oot_brier,es_holdout_logloss
"current (500, 30)",500,30,499,0.9130212949635026,0.02831079624593258,0.10602615186953822
"tight (500, 10)",500,10,499,0.9130212949635026,0.02831079624593258,0.10602615186953822
"loose (1000, 30)",1000,30,999,0.915552621038173,0.02371191792190075,0.07440135276440382
"loose (1500, 50)",1500,50,1305,0.9180750947875536,0.023617694154381752,0.0705232686427772
"loose (2000, 50)",2000,50,1305,0.9180750947875536,0.023617694154381752,0.0705232686427772
"very loose (3000, 100)",3000,100,1305,0.9180750947875536,0.023617694154381752,0.0705232686427772
